Country,Date,log_share,log_price,TAVG,share,q_imported
brazil,2010-01,-2.05234460861241,-2.793189533211734,12.41,0.1284334241878407,1846841.356209
brazil,2010-02,-2.2105559985977994,-2.607906429251233,12.58,0.1096396720617413,1130299.090909
brazil,2010-03,-2.181766212729869,-2.462146342484045,16.05,0.1128420514632163,1340238.018757
brazil,2010-04,-1.967792708049872,-3.056765509297195,21.74,0.1397650181877681,2691245.340426
brazil,2010-05,-2.1894188772805,-2.3219311758974244,26.1,0.1119818048836494,902324.923547
brazil,2010-06,-2.3956034007589166,-2.3224011517830974,28.58,0.0911176818532488,875789.0
brazil,2010-07,-1.890283492860081,-2.910230999596927,28.9,0.1510289871273174,1849921.743119
brazil,2010-08,-1.521993828537483,-2.804563303102168,28.82,0.2182762473901365,2453083.752066
brazil,2010-09,-1.3958126462534972,-2.1364901475996705,27.65,0.2476317175902861,1289269.432684
brazil,2010-10,-1.3565719827661835,-1.714662967126334,23.48,0.2575421242940521,1018461.666667
brazil,2010-11,-1.304167849724177,-2.5083865154638696,19.83,0.2713982852614586,2624411.179361
brazil,2010-12,-1.5202303761085794,-2.79159261707254,11.12,0.2186615067622175,3100147.047308
brazil,2011-01,-1.913398412104916,-2.091409678429655,15.22,0.1475780025546698,1244097.732794
brazil,2011-02,-1.7418661265938904,-2.291377764981337,18.95,0.1751931627582358,1667569.812067
brazil,2011-03,-1.7793232831661576,-2.5326700949552614,20.53,0.1687523061639467,2443533.979849
brazil,2011-04,-1.9294174844747536,-3.360904493859968,24.26,0.1452327741936424,4431398.414986
brazil,2011-05,-1.925956382105436,-2.823397313593141,25.72,0.1457363105853411,2589540.117845
brazil,2011-06,-1.84319331480003,-2.410699810612292,28.14,0.1583110809596348,1877575.278396
brazil,2011-07,-1.6220248451187578,-2.9133768289598745,28.52,0.197498390287195,2970681.104972
brazil,2011-08,-1.7409434241613115,-2.795685761015375,28.75,0.1753548885165851,2509219.03437
brazil,2011-09,-1.3376484578480123,-2.2871693503732824,27.41,0.2624621342457316,2329437.529528
brazil,2011-10,-1.2874319233857388,-2.495046301680809,22.31,0.2759786080357301,3464655.406061
brazil,2011-11,-1.206215621860187,-1.8904895493807945,20.34,0.2993279087105202,2033348.536424
brazil,2011-12,-1.336652083773773,-2.970628236976509,18.79,0.2627237750361682,5862254.249513
brazil,2012-01,-1.5665765399676672,-3.132097241374538,15.65,0.2087586372691151,6334857.178899
brazil,2012-02,-1.980229185017476,-2.2385587821042896,19.45,0.1380375975361465,1376864.484053
brazil,2012-03,-2.0146392027987976,-3.1656478781462813,22.06,0.1333685136728571,3649255.521327
