STATION;NAME;Year;Month;DP01;DP10;EMXP;PRCP
US1CAFR0002;CLOVIS 2.9 N, CA US;2011;4;3;1;4.3;4.9
US1CAFR0002;CLOVIS 2.9 N, CA US;2011;5;7;3;6.6;16.5
US1CAFR0002;CLOVIS 2.9 N, CA US;2011;6;4;4;40.6;61.4
US1CAFR0002;CLOVIS 2.9 N, CA US;2011;7;0;0;0.0;0.0
US1CAFR0002;CLOVIS 2.9 N, CA US;2011;10;2;2;21.1;25.4
US1CAFR0002;CLOVIS 2.9 N, CA US;2011;11;5;4;10.2;27.4
US1CAFR0002;CLOVIS 2.9 N, CA US;2011;12;1;0;0.5;0.5
US1CAFR0002;CLOVIS 2.9 N, CA US;2012;1;5;4;27.2;47.2
US1CAFR0002;CLOVIS 2.9 N, CA US;2012;2;6;3;11.9;21.3
US1CAFR0002;CLOVIS 2.9 N, CA US;2012;3;6;5;34.5;72.4
US1CAFR0002;CLOVIS 2.9 N, CA US;2012;7;0;0;0.0;0.0
US1CAFR0002;CLOVIS 2.9 N, CA US;2012;8;1;0;1.0;1.0
US1CAFR0002;CLOVIS 2.9 N, CA US;2012;9;0;0;0.0;0.0
US1CAFR0002;CLOVIS 2.9 N, CA US;2012;10;2;1;8.4;9.2
US1CAFR0002;CLOVIS 2.9 N, CA US;2012;11;6;3;7.1;16.7
US1CAFR0002;CLOVIS 2.9 N, CA US;2012;12;12;10;21.8;93.8
US1CAFR0002;CLOVIS 2.9 N, CA US;2013;1;6;3;7.6;16.8
US1CAFR0002;CLOVIS 2.9 N, CA US;2013;2;3;2;14.7;22.6
US1CAFR0002;CLOVIS 2.9 N, CA US;2013;3;6;3;10.2;23.6
US1CAFR0002;CLOVIS 2.9 N, CA US;2013;4;4;1;5.6;10.6
US1CAFR0002;CLOVIS 2.9 N, CA US;2013;5;2;0;2.3;2.8
US1CAFR0002;CLOVIS 2.9 N, CA US;2013;6;0;0;0.0;0.0
US1CAFR0002;CLOVIS 2.9 N, CA US;2013;7;1;1;2.8;2.8
US1CAFR0002;CLOVIS 2.9 N, CA US;2013;8;1;1;10.4;10.4
US1CAFR0002;CLOVIS 2.9 N, CA US;2013;9;1;0;2.0;2.0
US1CAFR0002;CLOVIS 2.9 N, CA US;2013;10;1;0;1.8;1.8
US1CAFR0002;CLOVIS 2.9 N, CA US;2013;11;2;1;11.4;12.2
US1CAFR0002;CLOVIS 2.9 N, CA US;2013;12;2;1;6.9;7.7
US1CAFR0002;CLOVIS 2.9 N, CA US;2014;1;2;2;12.7;15.5
US1CAFR0002;CLOVIS 2.9 N, CA US;2014;2;8;5;26.4;54.5
US1CAFR0002;CLOVIS 2.9 N, CA US;2014;3;6;3;12.2;28.7
US1CAFR0002;CLOVIS 2.9 N, CA US;2014;4;4;3;13.5;27.3
US1CAFR0002;CLOVIS 2.9 N, CA US;2014;5;2;1;9.7;10.7
US1CAFR0002;CLOVIS 2.9 N, CA US;2014;6;0;0;0.0;0.0
US1CAFR0002;CLOVIS 2.9 N, CA US;2014;7;1;1;2.8;2.8
US1CAFR0002;CLOVIS 2.9 N, CA US;2014;8;0;0;0.0;0.0
US1CAFR0002;CLOVIS 2.9 N, CA US;2014;9;1;1;9.4;9.4
US1CAFR0002;CLOVIS 2.9 N, CA US;2014;10;0;0;0.0;0.0
US1CAFR0002;CLOVIS 2.9 N, CA US;2014;11;5;3;26.9;41.2
US1CAFR0002;CLOVIS 2.9 N, CA US;2014;12;12;5;30.0;69.8
US1CAFR0002;CLOVIS 2.9 N, CA US;2015;1;2;1;3.3;5.3
US1CAFR0002;CLOVIS 2.9 N, CA US;2015;2;5;4;16.3;43.2
US1CAFR0002;CLOVIS 2.9 N, CA US;2015;3;2;1;14.2;15.2
US1CAFR0002;CLOVIS 2.9 N, CA US;2015;4;3;2;19.6;35.6
US1CAFR0002;CLOVIS 2.9 N, CA US;2015;5;3;1;19.6;20.9
US1CAFR0002;CLOVIS 2.9 N, CA US;2015;6;0;0;0.0;0.0
US1CAFR0002;CLOVIS 2.9 N, CA US;2015;7;3;1;11.7;13.0
US1CAFR0002;CLOVIS 2.9 N, CA US;2015;8;0;0;0.0;0.0
US1CAFR0002;CLOVIS 2.9 N, CA US;2015;9;2;1;3.3;5.1
US1CAFR0002;CLOVIS 2.9 N, CA US;2015;10;8;2;4.3;16.0
US1CAFR0002;CLOVIS 2.9 N, CA US;2015;11;6;5;31.2;57.0
US1CAFR0002;CLOVIS 2.9 N, CA US;2015;12;8;6;28.7;96.7
US1CAFR0002;CLOVIS 2.9 N, CA US;2016;1;16;11;23.4;128.4
US1CAFR0002;CLOVIS 2.9 N, CA US;2016;2;3;2;15.5;25.7
US1CAFR0002;CLOVIS 2.9 N, CA US;2016;3;8;5;34.3;97.6
US1CAFR0002;CLOVIS 2.9 N, CA US;2016;4;3;2;40.9;50.5
US1CAFR0002;CLOVIS 2.9 N, CA US;2016;6;1;1;3.0;3.0
US1CAFR0002;CLOVIS 2.9 N, CA US;2016;7;0;0;0.0;0.0
US1CAFR0002;CLOVIS 2.9 N, CA US;2016;8;0;0;0.0;0.0
US1CAFR0002;CLOVIS 2.9 N, CA US;2016;9;0;0;0.0;0.0
US1CAFR0002;CLOVIS 2.9 N, CA US;2016;10;6;2;14.0;24.4
US1CAFR0002;CLOVIS 2.9 N, CA US;2016;11;5;2;21.1;38.2
US1CAFR0002;CLOVIS 2.9 N, CA US;2016;12;9;5;51.8;80.6
US1CAFR0002;CLOVIS 2.9 N, CA US;2017;1;16;16;29.0;201.3
US1CAFR0002;CLOVIS 2.9 N, CA US;2017;2;14;11;39.1;125.6
US1CAFR0002;CLOVIS 2.9 N, CA US;2017;3;7;2;18.8;35.2
US1CAFR0002;CLOVIS 2.9 N, CA US;2017;4;7;5;15.5;48.7
US1CAFR0002;CLOVIS 2.9 N, CA US;2017;5;1;1;3.0;3.0
US1CAFR0002;CLOVIS 2.9 N, CA US;2017;6;1;1;3.6;3.6
US1CAFR0002;CLOVIS 2.9 N, CA US;2017;7;0;0;0.0;0.0
US1CAFR0002;CLOVIS 2.9 N, CA US;2017;8;0;0;0.0;0.0
US1CAFR0002;CLOVIS 2.9 N, CA US;2017;9;2;2;6.9;11.2
US1CAFR0002;CLOVIS 2.9 N, CA US;2017;10;1;0;1.8;1.8
US1CAFR0002;CLOVIS 2.9 N, CA US;2017;11;4;2;17.0;29.7
US1CAFR0002;CLOVIS 2.9 N, CA US;2017;12;1;0;1.0;1.0
US1CAFR0002;CLOVIS 2.9 N, CA US;2018;1;8;5;8.9;32.8
US1CAFR0002;CLOVIS 2.9 N, CA US;2018;2;2;1;6.9;7.7
US1CAFR0002;CLOVIS 2.9 N, CA US;2018;3;11;5;43.7;168.8
US1CAFR0002;CLOVIS 2.9 N, CA US;2018;4;5;3;5.3;16.8
US1CAFR0002;CLOVIS 2.9 N, CA US;2018;5;0;0;0.0;0.0
US1CAFR0002;CLOVIS 2.9 N, CA US;2018;6;0;0;0.0;0.0
US1CAFR0002;CLOVIS 2.9 N, CA US;2018;7;0;0;0.0;0.0
US1CAFR0002;CLOVIS 2.9 N, CA US;2018;8;0;0;0.0;0.0
US1CAFR0002;CLOVIS 2.9 N, CA US;2018;9;0;0;0.0;0.0
US1CAFR0002;CLOVIS 2.9 N, CA US;2018;10;2;1;16.3;16.8
US1CAFR0002;CLOVIS 2.9 N, CA US;2018;11;9;5;24.9;71.9
US1CAFR0002;CLOVIS 2.9 N, CA US;2018;12;5;4;9.7;27.0
US1CAFR0002;CLOVIS 2.9 N, CA US;2019;1;7;5;21.1;64.8
US1CAFR0002;CLOVIS 2.9 N, CA US;2019;2;17;12;14.7;110.8
US1CAFR0002;CLOVIS 2.9 N, CA US;2019;3;11;6;19.3;41.3
US1CAFR0002;CLOVIS 2.9 N, CA US;2019;4;2;2;9.4;13.5
US1CAFR0002;CLOVIS 2.9 N, CA US;2019;5;7;5;19.3;66.0
US1CAFR0002;CLOVIS 2.9 N, CA US;2019;12;11;8;17.3;62.4
US1CAFR0002;CLOVIS 2.9 N, CA US;2020;1;5;2;13.0;20.1
US1CAFR0002;CLOVIS 2.9 N, CA US;2020;2;1;0;0.3;0.3
US1CAFR0002;CLOVIS 2.9 N, CA US;2020;4;6;6;25.7;51.4
US1CAFR0002;CLOVIS 2.9 N, CA US;2020;6;1;0;0.3;0.3
US1CAFR0002;CLOVIS 2.9 N, CA US;2020;7;0;0;0.0;0.0
US1CAFR0002;CLOVIS 2.9 N, CA US;2020;8;0;0;0.0;0.0
US1CAFR0002;CLOVIS 2.9 N, CA US;2020;9;0;0;0.0;0.0
US1CAFR0002;CLOVIS 2.9 N, CA US;2020;10;0;0;0.0;0.0
US1CAFR0002;CLOVIS 2.9 N, CA US;2020;11;6;2;7.9;15.6
US1CAFR0002;CLOVIS 2.9 N, CA US;2020;12;11;5;9.9;34.7
US1CAFR0002;CLOVIS 2.9 N, CA US;2021;1;10;7;44.2;91.7
US1CAFR0002;CLOVIS 2.9 N, CA US;2021;2;2;1;8.1;9.1
US1CAFR0002;CLOVIS 2.9 N, CA US;2021;3;4;3;14.7;40.6
US1CAFR0002;CLOVIS 2.9 N, CA US;2021;4;1;1;5.1;5.1
US1CAFR0002;CLOVIS 2.9 N, CA US;2022;9;3;0;1.8;3.8
US1CAFR0002;CLOVIS 2.9 N, CA US;2022;10;0;0;0.0;0.0
US1CAFR0002;CLOVIS 2.9 N, CA US;2022;11;4;4;12.4;28.1
US1CAFR0002;CLOVIS 2.9 N, CA US;2022;12;13;7;36.8;131.1
US1CAFR0002;CLOVIS 2.9 N, CA US;2023;3;17;12;24.1;141.3
US1CAFR0002;CLOVIS 2.9 N, CA US;2023;7;0;0;0.0;0.0
US1CAFR0002;CLOVIS 2.9 N, CA US;2023;8;4;3;13.7;32.2
US1CAFR0002;CLOVIS 2.9 N, CA US;2024;1;12;7;21.1;55.4
US1CAFR0002;CLOVIS 2.9 N, CA US;2024;2;13;10;23.6;98.5
US1CAFR0002;CLOVIS 2.9 N, CA US;2024;3;10;6;17.3;56.4
US1CAFR0002;CLOVIS 2.9 N, CA US;2024;4;5;4;22.4;42.1
US1CAFR0002;CLOVIS 2.9 N, CA US;2024;5;1;1;11.9;11.9
US1CAFR0002;CLOVIS 2.9 N, CA US;2024;7;2;0;0.5;1.0
US1CAFR0002;CLOVIS 2.9 N, CA US;2024;8;0;0;0.0;0.0
US1CAFR0002;CLOVIS 2.9 N, CA US;2024;9;1;0;0.5;0.5
US1CAFR0002;CLOVIS 2.9 N, CA US;2024;10;0;0;0.0;0.0
US1CAFR0002;CLOVIS 2.9 N, CA US;2024;11;7;3;27.9;53.3
US1CAFR0002;CLOVIS 2.9 N, CA US;2024;12;9;3;10.4;35.9
US1CAFR0002;CLOVIS 2.9 N, CA US;2025;1;2;2;4.8;9.1
US1CAFR0002;CLOVIS 2.9 N, CA US;2025;2;5;4;21.8;54.8
US1CAFR0002;CLOVIS 2.9 N, CA US;2025;3;7;7;49.5;107.7
US1CAFR0007;FRESNO 4.3 NNW, CA US;2010;2;13;9;16.8;80.8
US1CAFR0007;FRESNO 4.3 NNW, CA US;2010;3;5;2;19.6;32.1
US1CAFR0007;FRESNO 4.3 NNW, CA US;2010;4;8;6;18.5;74.3
US1CAFR0007;FRESNO 4.3 NNW, CA US;2010;5;4;1;2.5;4.8
US1CAFR0007;FRESNO 4.3 NNW, CA US;2010;6;0;0;0.0;0.0
US1CAFR0007;FRESNO 4.3 NNW, CA US;2010;7;0;0;0.0;0.0
US1CAFR0007;FRESNO 4.3 NNW, CA US;2010;8;0;0;0.0;0.0
US1CAFR0007;FRESNO 4.3 NNW, CA US;2010;9;0;0;0.0;0.0
US1CAFR0007;FRESNO 4.3 NNW, CA US;2010;10;7;2;6.9;14.2
US1CAFR0007;FRESNO 4.3 NNW, CA US;2010;11;7;5;16.3;55.2
US1CAFR0007;FRESNO 4.3 NNW, CA US;2010;12;12;11;39.4;162.1
