DATE,TAVG,TMIN,TMAX,PRCP,TAVG_anom,TMIN_anom,TMAX_anom,PRCP_anom
2010-01-01,2.48,-0.79,5.74,44.4,2.503,2.314,2.685,-2.3000000000000043
2010-02-01,3.87,-0.21,7.95,36.9,2.815,2.833,2.7939999999999996,-1.3100000000000023
2010-03-01,5.78,-0.24,11.8,29.4,0.32399999999999984,-0.267,0.9140000000000015,-28.360000000000007
2010-04-01,8.78,3.0,14.56,43.8,-0.2889999999999997,0.05500000000000016,-0.6319999999999979,3.8999999999999986
2010-05-01,11.18,4.71,17.65,43.0,-3.0950000000000006,-2.524,-3.6640000000000015,6.93
2010-06-01,15.89,10.33,21.45,81.0,-1.75,-0.359,-3.1380000000000017,37.34
2010-07-01,20.59,12.25,28.92,13.2,-1.6179999999999986,-1.508000000000001,-1.737999999999996,1.8499999999999996
2010-08-01,20.48,12.47,28.5,5.6,-1.4529999999999994,-0.8669999999999991,-2.030000000000001,-4.74
2010-09-01,15.87,8.98,22.76,18.7,-0.7080000000000002,-0.006000000000000227,-1.4079999999999977,0.4299999999999997
2010-10-01,10.19,4.62,15.76,50.2,0.43099999999999916,0.706,0.15300000000000047,3.0700000000000003
2010-11-01,1.88,-1.62,5.37,76.5,-1.7029999999999998,-1.283,-2.13,29.589999999999996
2010-12-01,-0.26,-3.51,2.99,81.3,-0.19400000000000003,-0.5270000000000001,0.14200000000000035,29.489999999999995
2011-01-01,-0.38,-3.82,3.07,68.1,-0.35700000000000004,-0.7159999999999997,0.01499999999999968,21.39999999999999
2011-02-01,-0.57,-4.8,3.66,16.0,-1.625,-1.7569999999999997,-1.4960000000000004,-22.21
2011-03-01,4.99,0.6,9.38,72.9,-0.4660000000000002,0.573,-1.5059999999999985,15.14
2011-04-01,5.84,0.63,11.04,53.5,-3.228999999999999,-2.315,-4.151999999999999,13.600000000000001
2011-05-01,11.61,5.22,17.99,52.5,-2.665000000000001,-2.0140000000000002,-3.3240000000000016,16.43
2011-06-01,15.31,9.1,21.52,43.9,-2.33,-1.5890000000000004,-3.0680000000000014,0.240000000000002
2011-07-01,19.33,11.32,27.34,17.6,-2.878,-2.4380000000000006,-3.317999999999998,6.250000000000002
2011-08-01,21.5,12.67,30.32,7.9,-0.43299999999999983,-0.6669999999999998,-0.21000000000000085,-2.4399999999999995
2011-09-01,18.14,8.93,27.34,7.1,1.5620000000000012,-0.05600000000000094,3.1720000000000006,-11.17
2011-10-01,9.41,4.09,14.74,22.9,-0.3490000000000002,0.1759999999999997,-0.8669999999999991,-24.230000000000004
2011-11-01,2.51,-2.12,7.15,34.6,-1.073,-1.783,-0.34999999999999964,-12.310000000000002
